,timestamp,gravityX,gravityY,gravityZ,accelX,accelY,accelZ,rotX,rotY,rotZ,roll,pitch,yaw,activity
0,1579037306394,0.8949770331382751,0.150202214717865,-0.4200659096240997,-0.0004915595054626465,-0.00870746374130249,-0.0009850859642028806,-0.14384575188159945,0.04915355145931244,0.054141007363796234,1.1319602244393236,-0.15077280337896,0.0958960372906934,
1,1579037306467,0.895493745803833,0.15086449682712555,-0.4187251031398773,0.003676176071166992,-0.021073222160339355,0.005440771579742432,-0.1140039563179016,0.05776914209127426,-0.0006974749267101287,1.1334101471822642,-0.15144271432638146,0.09839419140970407,
2,1579037306476,0.895882248878479,0.1519753634929657,-0.4174899160861969,0.003898024559020996,0.0008566677570343018,0.011590838432312012,-0.10186180472373962,0.04848723113536835,-0.018732400611042976,1.1347086858999766,-0.15256654516746998,0.10009536349383047,
3,1579037306483,0.8961101174354553,0.15304893255233765,-0.4166074097156525,0.0077747106552124015,0.02140478789806366,0.006359577178955078,-0.10285090655088423,0.0251188613474369,-0.00858495756983757,1.1356155297301092,-0.15365282754317586,0.10182490321872613,
4,1579037306488,0.896388053894043,0.15353946387767792,-0.4158284366130829,0.004139900207519531,0.014002040028572084,0.007045447826385498,-0.09078199416399002,0.028186295181512836,0.029101435095071793,1.1364489727688003,-0.1541492154899157,0.10353915422777164,
5,1579037306489,0.8968257904052734,0.152997687458992,-0.4150835871696472,0.0022068023681640625,0.042940422892570496,-0.008271574974060059,-0.08728472888469696,0.035247746855020516,0.10679303854703903,1.1373191249800292,-0.15360096141170154,0.10591224897672513,
6,1579037306491,0.897710382938385,0.1510978937149048,-0.41386541724205017,-0.0011650323867797852,0.014917746186256409,-0.010542511940002441,-0.0837714821100235,0.07193556427955627,0.1694292426109314,1.1388133261655657,-0.1516788222639775,0.10856540979286268,
7,1579037306508,0.8990626335144043,0.14838911592960358,-0.4119053483009337,0.005569934844970703,0.011858686804771423,-0.0003413558006286621,-0.08208490908145905,0.11260023713111875,0.2063076496124268,1.1411857478849181,-0.1489391496026219,0.11167702250172552,
8,1579037306509,0.8992950916290283,0.15894855558872226,-0.4074341356754303,0.003796279430389404,-0.024686470627784732,0.0053803324699401855,-0.1000806838274002,0.1208335906267166,0.21465691924095154,1.1454010833650057,-0.1596255734097345,0.11523592061959716,
9,1579037306547,0.8950474262237549,0.17618362605571747,-0.4096924364566803,0.007036864757537842,-0.04096022248268128,0.00617372989654541,-0.06409765034914018,0.13739624619483948,0.1962187886238098,1.1415305818978971,-0.17710806950656208,0.1172642110122326,
10,1579037306565,0.8956848978996277,0.1699972152709961,-0.4109111130237579,0.011038124561309814,-0.0444936752319336,0.005881845951080322,-0.04678950086236,0.14785099029541016,0.15943439304828644,1.1406753159078251,-0.17082684191660066,0.11873663443160687,
11,1579037306566,0.8973132371902466,0.1663251370191574,-0.4088560044765472,0.009669184684753418,-0.02661566436290741,0.0068021416664123535,-0.05810314044356346,0.16940748691558838,0.16988864541053772,1.1432582025046718,-0.16710171527312848,0.1208005880916284,
12,1579037306568,0.9007396697998048,0.15820609033107758,-0.4045208394527435,0.009462356567382812,-0.031680211424827576,0.010706722736358644,-0.09520842880010603,0.1908006966114044,0.18531286716461184,1.1486923585532811,-0.15887359480228405,0.12403848137599532,
13,1579037306569,0.9029780626296996,0.1530204713344574,-0.4015147089958191,0.010764002799987793,-0.029393747448921207,0.013544738292694092,-0.13184553384780884,0.19159561395645144,0.18142518401145932,1.152395253229353,-0.15362401442639573,0.12762589079868414,
14,1579037306571,0.905257284641266,0.14681223034858704,-0.3986908495426178,0.002671182155609131,-0.033073216676712036,0.007302880287170409,-0.12559963762760162,0.1947246640920639,0.15226542949676514,1.1559400029537634,-0.1473448095309934,0.131106148256489,
15,1579037306583,0.9072579741477966,0.14373262226581573,-0.3952501118183136,0.012709677219390871,-0.03325898945331573,0.02821516990661621,-0.09770381450653076,0.18717560172080994,0.11724727600812912,1.1599367993014609,-0.14423217911007152,0.13394340352332407,
16,1579037306585,0.9085198640823364,0.1421005129814148,-0.39293399453163147,0.008777499198913574,0.009480297565460205,0.037739932537078864,-0.1674858331680298,0.10954339802265167,0.13197216391563416,1.1625910946265612,-0.14258314315652387,0.1373897767617619,
17,1579037306586,0.9099427461624146,0.13889190554618835,-0.3907822668552399,0.00976550579071045,-0.04262422025203705,0.02418982982635498,-0.1728110909461975,0.06342995911836624,0.12191472202539445,1.1651557152048335,-0.1393423898525132,0.1414831500998992,
18,1579037306588,0.9109519720077516,0.13619181513786316,-0.3893785774707794,0.007016777992248535,0.002693668007850647,0.0028887391090393066,-0.1406414359807968,0.07026210427284241,0.09627407789230348,1.1668596159583071,-0.1366163904280015,0.14522808395621045,
19,1579037306589,0.912541389465332,0.1340658962726593,-0.386383056640625,0.002497673034667969,0.001340612769126892,-0.002532958984375,-0.10774073749780656,0.10967963933944702,0.0858110561966896,1.1702695571115356,-0.13447078468484114,0.14809917343132298,
20,1579037306599,0.9145793318748474,0.133456751704216,-0.3817473351955414,-0.0035686492919921875,-0.023608729243278503,0.01085197925567627,-0.08467269688844681,0.13943907618522644,0.0781552642583847,1.1753787241507443,-0.1338561149948086,0.15067971795879498,
21,1579037306605,0.9164250493049622,0.1318749040365219,-0.377850741147995,0.0032832026481628422,-0.034630656242370605,0.017132997512817383,-0.061187345534563065,0.13800546526908875,0.029454570263624188,1.1797235564716424,-0.1322601695486008,0.15258336693527674,
